NO,FORMULA,COMPOUND NAME,MOLWT,TFP,TBP,TC,PC,VC,LDEN,TDEN,HVAP,VISA,VISB,DELHF,DELGF,CPVAPA,CPVAPB,CPVAPC,CPVAPD,ANTA,ANTB,ANTC,TMN,TMX,,title
320,C7H14,ETHYLCYCLOPENTANE,98.189,-138.5,103.4,569.5,33.9,0.375,771,16,"32,301",433.81,249.72,-127.15,44.59,-55.312,7.51E-01,-4.40E-04,1.00E-07,15.8581,2990.13,-52.47,-3,129,,"C7H14, ETHYLCYCLOPENTANE"
321,C7H14,METHYLCYCLOHEXANE,98.189,-126.6,100.9,572.1,34.8,0.368,774,16,"31,150",528.41,271.58,-154.87,27.3,-61.919,7.84E-01,-4.44E-04,9.37E-08,15.7105,2926.04,-51.75,-3,127,,"C7H14, METHYLCYCLOHEXANE"
322,C7H14,1-HEPTENE,98.189,-118.9,93.6,537.2,28.4,0.44,679,20,"31,108",368.69,214.32,-62.34,95.88,-3.303,6.30E-01,-3.51E-04,7.61E-08,15.8894,2895.51,-53.97,-8,127,,"C7H14, 1-HEPTENE"
323,C7H14,2;3;3-TRIMETHYL-1-BUTENE,98.189,-109.9,77.8,533,29,0.4,705,20,"28,889",,,-86.54,,,,,,15.6536,2719.47,-49.56,-20,102,,"C7H14, 2;3;3-TRIMETHYL-1-BUTENE"
324,C7H16,N-HEPTANE,100.205,-90.6,98.4,540.2,27.4,0.432,684,20,"31,719",436.73,232.53,-187.9,8,-5.146,6.76E-01,-3.65E-04,7.66E-08,15.8737,2911.32,-56.51,-3,127,,"C7H16, N-HEPTANE"
325,C7H16,2-METHYLHEXANE,100.205,-118.3,90,530.3,27.4,0.421,679,20,"30,689",417.46,225.13,-195.06,3.22,-39.389,8.64E-01,-6.29E-04,1.84E-07,15.8261,2845.06,-53.6,-9,117,,"C7H16, 2-METHYLHEXANE"
326,C7H16,3-METHYLHEXANE,100.205,-173.2,91.8,535.2,28.2,0.404,687,20,"30,815",,,-192.43,4.61,-7.046,6.84E-01,-3.73E-04,7.83E-08,15.8133,2855.66,-53.93,-8,117,,"C7H16, 3-METHYLHEXANE"
327,C7H16,2;2-DIMETHYLPENTANE,100.205,-123.8,79.2,520.4,27.8,0.416,674,20,"29,182",417.37,226.19,-206.28,0.08,-50.099,8.96E-01,-6.36E-04,1.74E-07,15.6917,2740.15,-49.85,-19,105,,"C7H16, 2;2-DIMETHYLPENTANE"
328,C7H16,2;3-DIMETHYLPENTANE,100.205,,89.7,537.3,29.1,0.393,965,20,"30,409",,,-199.38,0.67,-7.046,7.05E-01,-3.73E-04,7.83E-08,15.7815,2850.64,-51.33,-11,115,,"C7H16, 2;3-DIMETHYLPENTANE"
329,C7H16,2;4-DIMETHYLPENTANE,100.205,-119.2,80.5,519.7,27.4,0.418,673,20,"29,517",,,-202.14,3.1,-7.046,6.84E-01,-3.73E-04,7.83E-08,15.7179,2744.78,-51.52,-17,105,,"C7H16, 2;4-DIMETHYLPENTANE"
330,C7H16,3;3-DIMETHYLPENTANE,100.205,-134.5,86,536.3,29.5,0.414,693,20,"29,668",,,-201.68,2.64,-7.046,6.84E-01,-3.73E-04,7.83E-08,15.719,2829.1,-47.83,-13,112,,"C7H16, 3;3-DIMETHYLPENTANE"
331,C7H16,3-ETHYLPENTANE,100.205,-118.6,93.4,540.6,28.9,0.416,698,20,"30,978",,,-189.79,11.01,-7.046,6.84E-01,-3.73E-04,7.83E-08,15.8317,2882.44,-53.26,-7,119,,"C7H16, 3-ETHYLPENTANE"
332,C7H16,2;2;3-TRIMETHYLBUTANE,100.205,-24.9,80.8,531.1,29.6,0.398,690,20,"28,968",,,-204.94,4.27,-22.944,7.52E-01,-4.42E-04,1.00E-07,15.6398,2764.4,-47.1,-19,106,,"C7H16, 2;2;3-TRIMETHYLBUTANE"
333,C7H16O,1-HEPTANOL,116.204,-34,176.3,633,30.4,0.435,822,20,"48,148",1287,361.83,-332.01,-121,4.907,6.78E-01,-3.45E-04,6.05E-08,15.3068,2626.42,-146.6,60,176,,"C7H16O, 1-HEPTANOL"
334,C8H4O3,PHTHALIC ANHYDRIDE,148.118,130.8,286.8,810,47.6,0.368,,,"49,614",,,-371.79,,-4.455,6.54E-01,-4.28E-04,1.01E-07,15.9984,4467.01,-83.15,136,342,,"C8H4O3, PHTHALIC ANHYDRIDE"
335,C8H8,STYRENE,104.152,-30.7,145.1,647,39.9,,906,20,"36,844",528.64,276.71,147.46,213.95,-28.248,6.16E-01,-4.02E-04,9.94E-08,16.0193,3328.57,-63.72,32,187,,"C8H8, STYRENE"
336,C8H8O,METHYL PHENYL KETONE,120.151,19.6,201.7,701,38.5,0.376,1032,15,,1316.4,310.82,-86.92,1.84,-29.58,6.41E-01,-4.07E-04,9.72E-08,16.2384,3781.07,-81.15,77,247,,"C8H8O, METHYL PHENYL KETONE"
337,C8H8O2,METHYL BENZOATE,136.151,-12.4,199,692,36.5,0.396,1083,20,"43,124",768.94,332.33,-254.06,,-21.21,5.50E-01,-1.80E-04,4.43E-08,16.2272,3751.83,-81.15,77,243,,"C8H8O2, METHYL BENZOATE"
338,C8H10,O-XYLENE,106.168,-25.2,144.4,630.2,37.3,0.369,880,20,"36,844",513.54,277.98,19.01,122.17,-15.851,5.96E-01,-3.44E-04,7.53E-08,16.1156,3395.57,-59.46,32,172,,"C8H10, O-XYLENE"
339,C8H10,M-XYLENE,106.168,-47.9,139.1,617,35.5,0.376,864,20,"36,383",453.42,257.18,17.25,118.95,-29.165,6.30E-01,-3.75E-04,8.48E-08,16.139,3366.99,-58.04,27,167,,"C8H10, M-XYLENE"
340,C8H10,P-XYLENE,106.168,13.2,138.3,616.2,35.2,0.379,861,20,"36,006",475.16,261.4,17.96,121.21,-25.091,6.04E-01,-3.37E-04,6.82E-08,16.0963,3346.65,-57.84,27,167,,"C8H10, P-XYLENE"
341,C8H10,ETHYL BENZENE,106.168,-95,136.1,617.1,36.1,0.374,867,20,"35,588",472.82,264.22,29.81,130.67,-43.099,7.07E-01,-4.81E-04,1.30E-07,16.0195,3272.47,-59.95,27,177,,"C8H10, ETHYL BENZENE"
342,C8H10O,O-ETHYLPHENOL,122.167,-3.4,204.5,703,,,1037,0,"48,106",,,-145.78,,,,,,17.961,4928.36,-45.75,77,227,,"C8H10O, O-ETHYLPHENOL"
343,C8H10O,M-ETHYLPHENOL,122.167,-4.2,218.4,716.4,,,1025,0,"50,828",,,-146.58,,,,,,17.1955,4272.77,-86.08,97,227,,"C8H10O, M-ETHYLPHENOL"
344,C8H10O,P-ETHYLPHENOL,122.167,44.8,217.8,716.4,,,,,"50,660",,,-144.65,,,,,,19.0905,5579.62,-44.15,97,227,,"C8H10O, P-ETHYLPHENOL"
345,C8H10O,ETHYL PHENYL ETHER,122.167,-30.2,169.8,647,34.2,,979,4,,646.88,305.91,,,,,,,16.1673,3473.2,-78.66,112,187,,"C8H10O, ETHYL PHENYL ETHER"
346,C8H10O,2;3-XYLENOL,122.167,74.8,216.9,722.8,,,,,"47,311",,,-157.34,,,,,,16.2424,3724.58,-102.4,147,227,,"C8H10O, 2;3-XYLENOL"
347,C8H10O,2;4-XYLENOL,122.167,24.8,210.8,707.6,,,,,"47,143",,,-162.78,,,,,,13.2456,3655.26,-103.8,137,227,,"C8H10O, 2;4-XYLENOL"
348,C8H10O,2;5-XYLENOL,122.167,74.8,211.1,723,,,,,"46,892",,,-161.53,,,,,,16.2328,3667.32,-102.4,137,217,,"C8H10O, 2;5-XYLENOL"
349,C8H10O,2;6-XYLENOL,122.167,48.8,200.9,701,,,,,"44,380",,,-161.95,,,,,,16.2809,3749.35,-85.55,127,207,,"C8H10O, 2;6-XYLENOL"
350,C8H10O,3;4-XYLENOL,122.167,64.8,226.8,729.8,,,,,"49,823",,,-156.5,,,,,,16.3004,3733.53,-113.9,157,247,,"C8H10O, 3;4-XYLENOL"
351,C8H10O,3;5-XYLENOL,122.167,63.8,221.6,715.6,,,,,"49,404",,,-161.48,,,,,,16.4192,3775.91,-109,137,227,,"C8H10O, 3;5-XYLENOL"
352,C8H11N,N;N-DIMETHYLANILINE,121.183,2.4,193.5,687,36.3,,956,20,,553.02,320.03,84.15,231.36,,,,,16.9647,4276.08,-52.8,72,207,,"C8H11N, N;N-DIMETHYLANILINE"
353,C8H16,1;1-DIMETHYLCYCLOHEXANE,112.216,-33.5,119.5,591,29.7,0.416,785,16,"32,615",,,-181.12,35.25,-72.105,9.00E-01,-5.02E-04,1.03E-07,15.6535,3043.34,-55.3,10,147,,"C8H16, 1;1-DIMETHYLCYCLOHEXANE"
354,C8H16,CIS-1;2-DIMETHYLCYCLOHEXANE,112.216,-50.1,129.7,606,29.7,,796,20,"33,662",,,-172.29,41.24,-68.37,8.97E-01,-5.14E-04,1.10E-07,15.7438,3148.35,-57.31,17,157,,"C8H16, CIS-1;2-DIMETHYLCYCLOHEXANE"
355,C8H16,TRANS-1;2-DIMETHYLCYCLOHEXANE,112.216,-88.2,123.4,596,29.7,,776,20,"32,908",,,-180.12,34.5,-68.479,9.12E-01,-5.36E-04,1.18E-07,15.7337,3117.43,-54.02,13,151,,"C8H16, TRANS-1;2-DIMETHYLCYCLOHEXANE"
356,C8H16,CIS-1;3-DIMETHYLCYCLOHEXANE,112.216,-75.6,120.1,591,29.7,,766,20,"32,825",,,-184.89,29.85,-65.163,8.84E-01,-4.93E-04,1.02E-07,15.747,3081.95,-55.08,11,147,,"C8H16, CIS-1;3-DIMETHYLCYCLOHEXANE"
357,C8H16,TRANS-1;3-DIMETHYLCYCLOHEXANE,112.216,-90.2,124.4,598,29.7,,785,20,"33,871",,,-176.68,36.34,-64.154,8.83E-01,-5.02E-04,1.07E-07,15.7371,3093.95,-57.76,15,152,,"C8H16, TRANS-1;3-DIMETHYLCYCLOHEXANE"
358,C8H16,CIS-1;4-DIMETHYLCYCLOHEXANE,112.216,-87.5,124.3,598,29.7,,783,20,"33,787",,,-176.77,37.97,-64.154,8.83E-01,-5.02E-04,1.07E-07,15.7333,3098.39,-57,14,152,,"C8H16, CIS-1;4-DIMETHYLCYCLOHEXANE"
359,C8H16,TRANS-1;4-DIMETHYLCYCLOHEXANE,112.216,-37,119.3,590,29.7,,763,20,"32,615",,,184.72,31.74,-70.363,9.13E-01,-5.31E-04,1.15E-07,15.6984,3063.44,-54.57,10,147,,"C8H16, TRANS-1;4-DIMETHYLCYCLOHEXANE"
360,C8H16,ETHYLCYCLOHEXANE,112.216,-111.4,131.7,609,30.3,0.45,788,20,"34,332",506.43,280.76,-171.87,39.27,-63.891,8.89E-01,-5.11E-04,1.10E-07,15.8125,3183.25,-58.15,20,160,,"C8H16, ETHYLCYCLOHEXANE"
361,C8H16,1;1;2-TRIMETHYLCYCLOPENTANE,112.216,,113.7,579.5,29.4,,,,"32,615",,,,,,,,,15.7084,3015.51,-54.59,6,141,,"C8H16, 1;1;2-TRIMETHYLCYCLOPENTANE"
362,C8H16,1;1;3-TRIMETHYLCYCLOPENTANE,112.216,,104.8,569.5,28.3,,,,"31,694",,,,,,,,,15.6794,2938.09,-53.25,0,131,,"C8H16, 1;1;3-TRIMETHYLCYCLOPENTANE"
363,C8H16,CIS;CIS;TRANS-1;2;4-TRIMETHYLCYCLOPENTANE,112.216,,117.8,579,28.8,,,,"33,076",,,,,,,,,15.7543,3073.95,-54.2,10,145,,"C8H16, CIS;CIS;TRANS-1;2;4-TRIMETHYLCYCLOPENTANE"
364,C8H16,CIS;TRANS;CIS-1;2;4-TRIMETHYLCYCLOPENTANE,112.216,,109.2,571,28.1,,,,"33,076",,,,,,,,,15.7756,3009.7,-53.23,9,144,,"C8H16, CIS;TRANS;CIS-1;2;4-TRIMETHYLCYCLOPENTANE"
365,C8H16,1-METHYL-1-ETHYLCYCLOPENTANE,112.216,,121.5,592,29.9,,,,"33,662",,,,,,,,,15.8222,3120.66,-55.06,13,149,,"C8H16, 1-METHYL-1-ETHYLCYCLOPENTANE"
366,C8H16,N-PROPYLCYCLOPENTANE,112.216,-117.4,130.9,603,30,0.425,781,16,"34,131",454.23,264.22,-148.17,52.63,-55.973,8.45E-01,-4.92E-04,1.12E-07,15.8969,3187.67,-59.99,21,158,,"C8H16, N-PROPYLCYCLOPENTANE"
367,C8H16,ISOPROPYLCYCLOPENTANE,112.216,-112.7,126.4,601,30,,776,20,"34,122",,,,,,,,,15.8561,3176.22,-55.18,16,154,,"C8H16, ISOPROPYLCYCLOPENTANE"
368,C8H16,1-OCTENE,112.216,-101.8,121.2,566.6,26.2,0.464,715,20,"33,787",418.82,237.63,-82.98,104.29,-4.099,7.24E-01,-4.04E-04,8.68E-08,15.963,3116.52,-60.39,16,147,,"C8H16, 1-OCTENE"
369,C8H16,TRANS-2-OCTENE,112.216,-87.8,124.9,580,27.7,,720,20,"34,332",427.64,240.32,-94.58,92.74,-12.82,7.53E-01,-4.44E-04,1.05E-07,15.8554,3134.97,-58,16,152,,"C8H16, TRANS-2-OCTENE"
370,C8H18,N-OCTANE,114.232,-56.8,125.6,568.8,24.8,0.492,703,20,"34,436",473.7,251.71,-208.59,16.41,-6.096,7.71E-01,-4.20E-04,8.86E-08,15.9426,3120.29,-63.63,19,152,,"C8H18, N-OCTANE"
371,C8H18,2-METHYLHEPTANE,114.232,-109.2,117.6,559.6,24.8,0.488,702,16,"33,829",643.61,259.51,-215.62,12.77,-89.744,1.24E+00,-1.18E-03,4.62E-07,15.9278,3097.63,-59.46,12,144,,"C8H18, 2-METHYLHEPTANE"
372,C8H18,3-METHYLHEPTANE,114.232,-120.5,118.9,563.6,25.4,0.464,706,20,"33,913",,,-212.77,13.73,-9.215,7.86E-01,-4.40E-04,9.70E-08,15.8865,3065.96,-60.74,13,145,,"C8H18, 3-METHYLHEPTANE"
373,C8H18,4-METHYLHEPTANE,114.232,-121,117.7,561.7,25.4,0.476,705,20,"33,913",,,-212.23,16.75,-9.215,7.86E-01,-4.40E-04,9.70E-08,15.8893,3057.05,-60.59,12,144,,"C8H18, 4-METHYLHEPTANE"
374,C8H18,2;2-DIMETHYLHEXANE,114.232,-121.2,108.8,549.8,25.3,0.478,695,20,"32,280",,,-224.87,10.72,-9.215,7.86E-01,-4.40E-04,9.70E-08,15.7431,2932.56,-58.08,3,132,,"C8H18, 2;2-DIMETHYLHEXANE"
375,C8H18,2;3-DIMETHYLHEXANE,114.232,,115.6,563.4,26.2,0.468,712,20,"33,226",,,-214.07,17.71,-9.215,7.86E-01,-4.40E-04,9.70E-08,15.8189,3029.06,-58.99,10,142,,"C8H18, 2;3-DIMETHYLHEXANE"
376,C8H18,2;4-DIMETHYLHEXANE,114.232,,109.4,553.5,25.5,0.472,700,20,"32,615",,,-219.56,11.72,-9.215,7.86E-01,-4.40E-04,9.70E-08,15.7797,2965.44,-58.36,5,135,,"C8H18, 2;4-DIMETHYLHEXANE"
377,C8H18,2;5-DIMETHYLHEXANE,114.232,-91.3,109.1,550,24.8,0.482,693,20,"32,657",,,-222.78,10.47,-9.215,7.86E-01,-4.40E-04,9.70E-08,15.7954,2964.06,-58.74,5,135,,"C8H18, 2;5-DIMETHYLHEXANE"
378,C8H18,3;3-DIMETHYLHEXANE,114.232,-126.2,111.9,562,26.5,0.443,710,20,"32,490",446.2,244.67,-220.27,13.27,-9.215,7.86E-01,-4.40E-04,9.70E-08,15.7755,3011.51,-55.71,6,138,,"C8H18, 3;3-DIMETHYLHEXANE"
379,C8H18,3;4-DIMETHYLHEXANE,114.232,,117.7,568.8,27,0.466,719,20,"33,298",,,-213.15,17.33,-9.215,7.86E-01,-4.40E-04,9.70E-08,15.8415,3062.52,-58.29,11,144,,"C8H18, 3;4-DIMETHYLHEXANE"
380,C8H18,3-ETHYLHEXANE,114.232,,118.5,565.4,26,0.455,718,16,"33,633",437.6,238.33,-211.01,16.54,-9.215,7.86E-01,-4.40E-04,9.70E-08,15.8671,3057.57,-60.55,13,145,,"C8H18, 3-ETHYLHEXANE"
381,C8H18,2;2;3-TRIMETHYLPENTANE,114.232,-112.3,109.8,563.4,27.3,0.436,716,20,"32,029",474.57,257.61,-220.27,17.12,-9.215,7.86E-01,-4.40E-04,9.70E-08,15.7162,2981.56,-54.73,4,136,,"C8H18, 2;2;3-TRIMETHYLPENTANE"
382,C8H18,2;2;4-TRIMETHYLPENTANE,114.232,-107.4,99.2,543.9,25.6,0.468,692,20,"31,028",467.04,246.43,-224.29,13.69,-7.461,7.78E-01,-4.29E-04,9.17E-08,15.685,2896.28,-52.41,4,125,,"C8H18, 2;2;4-TRIMETHYLPENTANE"
383,C8H18,2;3;3-TRIMETHYLPENTANE,114.232,-100.7,114.7,573.5,28.2,0.455,726,20,"32,364",,,-216.58,18.92,-9.215,7.86E-01,-4.40E-04,9.70E-08,15.7578,3057.94,-52.77,7,142,,"C8H18, 2;3;3-TRIMETHYLPENTANE"
384,C8H18,2;3;4-TRIMETHYLPENTANE,114.232,-109.3,113.4,566.3,27.3,0.461,719,20,"32,753",,,-217.59,18.92,-9.215,7.86E-01,-4.40E-04,9.70E-08,15.7818,3028.09,-55.62,7,140,,"C8H18, 2;3;4-TRIMETHYLPENTANE"
385,C8H18,2-METHYL-3-ETHYLPENTANE,114.232,-115,115.6,567,27.1,0.443,719,20,"32,988",,,211.35,21.27,-9.215,7.86E-01,-4.40E-04,9.70E-08,15.804,3035.08,-57.84,9,142,,"C8H18, 2-METHYL-3-ETHYLPENTANE"
386,C8H18,3-METHYL-3-ETHYLPENTANE,114.232,-90.9,118.2,576.5,28.1,0.455,727,20,"32,816",,,-215.12,19.93,-9.215,7.86E-01,-4.40E-04,9.70E-08,15.8126,3102.06,-53.47,10,145,,"C8H18, 3-METHYL-3-ETHYLPENTANE"
387,C8H18O,1-OCTANOL,130.231,-15.5,195.2,658,34.5,0.49,826,20,"50,660",1312.1,369.97,-360.06,-120.16,6.171,7.61E-01,-3.80E-04,6.26E-08,15.7428,3017.81,-137.1,70,195,,"C8H18O, 1-OCTANOL"
388,C8H18O,2-OCTANOL,130.231,-32,179.7,637,27.4,0.494,821,20,"44,380",,,,,25.879,7.64E-01,-4.22E-04,9.06E-08,14.7108,2441.66,-150.7,72,180,,"C8H18O, 2-OCTANOL"
389,C8H18O,2-ETHYLHEXANOL,130.231,-70,184.6,613,27.6,0.494,833,20,"46,599",1798,351.17,-365.55,,-14.993,8.65E-01,-5.28E-04,1.28E-07,15.3614,2773.46,-140,75,185,,"C8H18O, 2-ETHYLHEXANOL"
390,C8H18O,BUTYL ETHER,130.231,-97.9,142.4,580,25.3,0.5,768,20,"37,263",473.5,266.56,-334.11,-88.59,6.054,7.73E-01,-4.09E-04,8.08E-08,16.0778,3296.15,-66.15,32,182,,"C8H18O, BUTYL ETHER"
391,C8H18O5,TETRAETHYLENE GLYCOL,194.229,,318.9,795.8,21,0.646,,,,,,,,7.164,8.62E-01,-2.90E-04,-9.12E-08,20.5564,8215.28,-11.5,227,427,,"C8H18O5, TETRAETHYLENE GLYCOL"
392,C8H19N,DIBUTYLAMINE,129.247,-62.2,159.6,596,25.3,0.517,767,20,"39,775",581.42,286.54,,,9.764,8.08E-01,-4.39E-04,9.25E-08,16.7307,3721.9,-64.15,49,186,,"C8H19N, DIBUTYLAMINE"
393,C8H20Si,TETRAETHYL SILANE,144.333,-82.5,153.4,603.7,26,0.582,766,20,"36,473",,,-314.93,,,,,,16.6385,3873.18,-39.33,153,-1,,"C8H20Si, TETRAETHYL SILANE"
394,C9H8,INDENE,116.163,,181.9,691.9,38.2,0.377,,,,,,,,-42.944,6.90E-01,-4.34E-04,9.15E-08,16.438,3994.97,-49.4,77,277,,"C9H8, INDENE"
395,C9H10,INDAN,118.179,,177,681.1,36.3,0.392,,,,,,,,-59.639,7.81E-01,-4.84E-04,9.85E-08,16.2601,3789.86,-57,77,277,,"C9H10, INDAN"
396,C9H10,ALPHA-METHYL STYRENE,118.179,,165.3,654,34,0.397,911,20,"38,309",354.34,270.8,,,-24.329,6.93E-01,-4.53E-04,1.18E-07,16.3308,3644.3,-67.15,75,220,,"C9H10, ALPHA-METHYL STYRENE"
397,C9H10O2,ETHYL BENZOATE,150.178,-34.9,212.7,697,32.4,0.451,1046,20,"44,799",746.5,338.47,,,20.67,6.89E-01,-3.61E-04,5.06E-08,16.2065,3845.09,-84.15,88,258,,"C9H10O2, ETHYL BENZOATE"
398,C9H12,N-PROPYLBENZENE,120.195,-99.5,159.2,638.3,32,0.44,862,20,"38,267",527.45,282.65,7.83,137.33,-31.288,7.49E-01,-4.60E-04,1.08E-07,16.0062,3433.84,-66.01,43,188,,"C9H12, N-PROPYLBENZENE"
399,C9H12,ISOPROPYLBENZENE,120.195,-96.1,152.4,631,32.1,0.428,862,20,"37,556",517.17,276.22,3.94,137.08,-39.364,7.84E-01,-5.09E-04,1.29E-07,15.9722,3363.6,-63.37,38,181,,"C9H12, ISOPROPYLBENZENE"
400,C9H12,1-METHYL-2-ETHYLBENZENE,120.195,-80.9,165.1,651,30.4,0.46,881,20,"38,895",,,1.21,131.17,-16.446,7.00E-01,-4.12E-04,9.33E-08,16.1253,3535.33,-65.85,48,194,,"C9H12, 1-METHYL-2-ETHYLBENZENE"
401,C9H12,1-METHYL-3-ETHYLBENZENE,120.195,-95.6,161.3,637,28.4,0.49,865,20,"38,560",,,-1.93,126.53,-28.998,7.29E-01,-4.36E-04,1.00E-07,16.1545,3521.08,-64.64,45,190,,"C9H12, 1-METHYL-3-ETHYLBENZENE"
402,C9H12,1-METHYL-4-ETHYLBENZENE,120.195,-62.4,162,640,29.4,0.47,861,20,"38,435",463.17,266.08,-2.05,126.78,-27.31,7.18E-01,-4.22E-04,9.54E-08,16.1135,3516.31,-64.23,45,190,,"C9H12, 1-METHYL-4-ETHYLBENZENE"
403,C9H12,1;2;3-TRIMETHYLBENZENE,120.195,-25.5,176,664.5,34.6,0.43,894,20,"40,068",,,-9.59,124.64,-6.942,6.33E-01,-3.33E-04,6.61E-08,16.2121,3670.22,-66.07,56,206,,"C9H12, 1;2;3-TRIMETHYLBENZENE"
404,C9H12,1;2;4-TRIMETHYLBENZENE,120.195,-46.2,169.3,649.1,32.3,0.43,880,16,"39,272",872.74,297.75,-13.94,117.02,-4.668,6.24E-01,-3.26E-04,6.38E-08,16.219,3622.58,-64.59,51,198,,"C9H12, 1;2;4-TRIMETHYLBENZENE"
405,C9H12,1;3;5-TRIMETHYLBENZENE,120.195,-44.8,164.7,637.3,31.3,0.433,865,20,"39,063",437.52,268.27,-16.08,118.03,-19.59,6.72E-01,-3.69E-04,7.70E-08,16.2893,3614.19,-63.57,48,193,,"C9H12, 1;3;5-TRIMETHYLBENZENE"
406,C9H18,N-PROPYLCYCLOHEXANE,126.243,-94.5,156.7,639,28.1,,793,20,"36,090",549.08,293.93,-193.43,47.35,-62.517,9.89E-01,-5.80E-04,1.29E-07,15.8567,3363.62,-65.21,40,186,,"C9H18, N-PROPYLCYCLOHEXANE"
407,C9H18,ISOPROPYLCYCLOHEXANE,126.243,-89.8,154.5,640,28.4,,802,20,,,,,,,,,,15.826,3346.12,-63.71,57,167,,"C9H18, ISOPROPYLCYCLOHEXANE"
408,C9H18,1-NONENE,126.243,-81.4,146.8,592,23.4,0.58,745,0,"36,341",471,258.92,-103.58,112.75,-3.718,8.12E-01,-4.51E-04,9.71E-08,16.0118,3305.03,-67.61,35,175,,"C9H18, 1-NONENE"
409,C9H20,N-NONANE,128.259,-53.5,150.8,594.6,23.1,0.548,718,20,"36,940",525.56,272.12,-229.19,24.83,3.144,6.77E-01,-1.93E-04,-2.98E-08,15.9671,3291.45,-71.33,39,179,,"C9H20, N-NONANE"
410,C9H20,2;2;3-TRIMETHYLHEXANE,128.259,,133.6,588,24.9,,,,"34,792",,,-241.37,24.53,-45.632,1.06E+00,-7.17E-04,1.99E-07,15.8017,3164.17,-61.66,24,163,,"C9H20, 2;2;3-TRIMETHYLHEXANE"
411,C9H20,2;2;4-TRIMETHYLHEXANE,128.259,-120.2,126.5,573.7,23.7,,720,16,"34,039",,,-243.38,22.52,-60.311,1.10E+00,-7.71E-04,2.19E-07,15.7639,3084.08,-61.94,18,155,,"C9H20, 2;2;4-TRIMETHYLHEXANE"
412,C9H20,2;2;5-TRIMETHYLHEXANE,128.259,-105.8,124.1,568,23.3,0.519,717,16,"33,787",,,254.18,13.44,-54.106,1.09E+00,-7.75E-04,2.25E-07,15.7445,3052.17,-62.24,42,147,,"C9H20, 2;2;5-TRIMETHYLHEXANE"
413,C9H20,3;3-DIMETHYLPENTANE,128.259,,146.1,610,26.7,,752,20,"36,006",,,231.95,35.09,-67.269,1.13E+00,-7.99E-04,2.31E-07,15.8709,3341.62,-57.57,77,167,,"C9H20, 3;3-DIMETHYLPENTANE"
414,C9H20,2;2;3;3-TETRAMETHYLPENTANE,128.259,,140.2,607.6,27.4,,,,"35,295",,,-237.39,34.33,-54.583,1.09E+00,-7.57E-04,2.14E-07,15.728,3220.55,-59.31,55,167,,"C9H20, 2;2;3;3-TETRAMETHYLPENTANE"
415,C9H20,2;2;3;4-TETRAMETHYLPENTANE,128.259,,133,592.7,26,,,,"34,290",,,-237.22,32.66,-54.583,1.09E+00,-7.57E-04,2.14E-07,15.7363,3167.42,-58.21,45,157,,"C9H20, 2;2;3;4-TETRAMETHYLPENTANE"
416,C9H29,2;2;4;4-TETRAMETHYLPENTANE,128.259,-67.2,122.2,574.7,24.8,,719,20,"32,866",,,-242.12,34.04,-67.403,1.17E+00,-8.61E-04,2.57E-07,15.6488,3049.98,-57.13,40,140,,"C9H29, 2;2;4;4-TETRAMETHYLPENTANE"
417,C9H20,2;3;3;4-TETRAMETHYLPENTANE,128.259,,141.5,607.6,27.2,,,,"34,960",,,-236.39,34.12,-54.918,1.09E+00,-7.60E-04,2.16E-07,15.8029,3269.07,-58.19,52,152,,"C9H20, 2;3;3;4-TETRAMETHYLPENTANE"
418,C10H8,NAPHTHALENE,128.174,80.3,217.9,748.4,40.5,0.41,971,90,"43,292",873.32,352.57,151.06,223.74,-68.802,8.50E-01,-6.51E-04,1.98E-07,16.1426,3992.01,-71.29,87,252,,"C10H8, NAPHTHALENE"
419,C10H12,1;2;3;4-TETRAHYDRONAPHTHALENE,132.206,-31.2,207.5,719,35.2,,973,20,"39,733",,,27.63,167.05,,,,,16.2805,4009.49,-64.98,92,227,,"C10H12, 1;2;3;4-TETRAHYDRONAPHTHALENE"
420,C10H14,N-BUTYLBENZENE,134.222,-88,183.2,660.5,28.9,0.497,860,20,"39,272",563.84,296.01,-13.82,144.78,-22.99,7.93E-01,-4.40E-04,8.57E-08,16.0793,3633.4,-71.77,62,213,,"C10H14, N-BUTYLBENZENE"
421,C10H14,ISOBUTYLBENZENE,134.222,-51.5,172.7,650,31.4,0.48,853,20,"37,849",,,-21.56,,,,,,15.9524,3512.47,-69.03,53,203,,"C10H14, ISOBUTYLBENZENE"
422,C10H14,SEC-BUTYLBENZENE,134.222,-75.5,173.3,664,29.5,,862,20,"37,974",582.82,295.82,-17.46,,-65.147,9.89E-01,-7.21E-04,2.15E-07,15.9999,3544.19,-68.1,52,203,,"C10H14, SEC-BUTYLBENZENE"
423,C10H14,TERT-BUTYLBENZENE,134.222,-57.9,169.1,660,29.7,,867,20,"37,639",,,-22.69,,-86.001,1.10E+00,-8.75E-04,2.83E-07,15.93,3462.28,-69.87,50,199,,"C10H14, TERT-BUTYLBENZENE"
424,C10H14,1-METHYL-2-ISOPROPYLBENZENE,134.222,,178.3,670,29,,876,20,,,,,,,,,,15.9809,3564.52,-70,57,208,,"C10H14, 1-METHYL-2-ISOPROPYLBENZENE"
