NO,FORMULA,COMPOUND NAME,MOLWT,TFP,TBP,TC,PC,VC,LDEN,TDEN,HVAP,VISA,VISB,DELHF,DELGF,CPVAPA,CPVAPB,CPVAPC,CPVAPD,ANTA,ANTB,ANTC,TMN,TMX,,title
79,C2HCl3,TRICHLOROETHYLENE,131.389,-116.4,87.2,571,49.1,0.256,1462,20,"31,401",145.67,196.6,-5.86,19.89,30.174,2.29E-01,-2.23E-04,8.24E-08,16.1827,3028.13,-43.15,-13,127,,"C2HCl3, TRICHLOROETHYLENE"
80,C2HF3O2,TRIFLUROROACETIC ACID,114.024,-15.3,72.4,491.3,32.6,,1535,0,,,,,,,,,,,,,,,,"C2HF3O2, TRIFLUROROACETIC ACID"
81,C2H2,ACETYLENE,26.038,-80.8,-84,308.3,61.4,0.113,615,-84,"16,957",,,226.88,209.34,26.821,7.58E-02,-5.01E-05,1.41E-08,16.3481,1637.14,-19.77,-79,-71,,"C2H2, ACETYLENE"
82,C2H2F2,1;1-DIFLUOROETHYLENE,64.035,,,302.8,44.6,0.154,,,,,,-345.41,-321.71,3.073,2.44E-01,-2.10E-04,7.02E-08,,,,,,,"C2H2F2, 1;1-DIFLUOROETHYLENE"
83,C2H2O,KETENE,42.038,-135.2,-41.2,380,64.8,0.145,,,"20,641",,,-61.13,-60.33,6.385,1.64E-01,-1.08E-04,2.70E-08,16.0197,1849.21,-35.15,-103,-18,,"C2H2O, KETENE"
84,C2H3Cl,VINYL CHLORIDE,62.499,-153.8,-13.4,429.7,56,0.169,969,-14,"20,641",276.9,167.04,35.17,51.54,5.949,2.02E-01,-1.54E-04,4.77E-08,14.9601,1803.84,-43.15,-88,17,,"C2H3Cl, VINYL CHLORIDE"
85,C2H3ClF2,1-CHLORO-1;1-DIFLUOROETHANE,100.49,-131.2,-9.8,410.2,41.2,0.231,1100,30,,,,,,16.818,2.76E-01,-1.99E-04,5.30E-08,,,,,,,"C2H3ClF2, 1-CHLORO-1;1-DIFLUOROETHANE"
86,C2H3ClO,ACETYL CHLORIDE,78.498,-113,50.7,508,58.8,0.204,1104,20,"28,680",,,-244.09,-206.37,25.02,1.71E-01,-9.86E-05,2.22E-08,15.7514,2447.33,-55.53,-36,82,,"C2H3ClO, ACETYL CHLORIDE"
87,C2H3Cl3,1;1;2-TRICHLOROETHANE,133.4,-36.7,113.7,602,41.5,0.294,1441,20,"33,327",346.72,304.43,-138.58,-77.54,6.322,3.43E-01,-2.96E-04,9.79E-08,16.0381,3110.79,-56.16,29,155,,"C2H3Cl3, 1;1;2-TRICHLOROETHANE"
88,C2H3F,VINYL FLUORIDE,46.044,-143.2,-37.7,327.8,52.4,0.144,,,,,,,,,,,,,,,,,,"C2H3F, VINYL FLUORIDE"
89,C2H3F3,1;1;1-TRIFLUOROETHANE,84.041,-111.3,-47.7,346.2,37.6,0.221,,,"19,176",,,-746.09,-679.22,5.744,3.14E-01,-2.60E-04,8.42E-08,15.8965,1814.91,-29.92,-3,27,,"C2H3F3, 1;1;1-TRIFLUOROETHANE"
90,C2H3N,ACETONITRILE,41.053,-43.9,81.6,548,48.3,0.173,782,20,"31,401",334.91,210.05,87.92,105.67,20.482,1.08E-01,-4.49E-05,3.20E-09,16.2874,2945.47,-49.15,-13,117,,"C2H3N, ACETONITRILE"
91,C2H3NO,METHYL ISOCYANATE,57.052,,38.8,491,55.7,,958,20,"29,601",616.78,227.47,-90.02,,35.764,1.04E-01,-5.82E-06,-1.69E-08,16.3258,2480.37,-56.31,-43,67,,"C2H3NO, METHYL ISOCYANATE"
92,C2H4,ETHYLENE,28.054,-169.2,-103.8,282.4,50.4,0.129,577,-110,"13,553",168.98,93.94,52.33,68.16,3.806,1.57E-01,-8.35E-05,1.76E-08,15.5368,1347.01,-18.15,-153,91,,"C2H4, ETHYLENE"
93,C2H4Cl2,1;1-DICHLOROETHANE,98.96,-97,57.2,523,50.7,0.24,1168,25,"28,721",412.27,239.1,-130,-73.14,12.472,2.70E-01,-2.05E-04,6.30E-08,16.0842,2697.29,-45.03,-31,79,,"C2H4Cl2, 1;1-DICHLOROETHANE"
94,C2H4Cl2,1;2-DICHLOROETHANE,98.96,-35.7,83.4,561,53.7,0.22,1250,16,"32,029",473.95,277.98,-129.79,-73.9,20.486,2.31E-01,-1.44E-04,3.39E-08,16.1764,2927.17,-50.22,-33,100,,"C2H4Cl2, 1;2-DICHLOROETHANE"
95,C2H4F2,1;1-DIFLUOROETHANE,66.051,-117,-24.8,386.6,45,0.181,,,"21,353",319.27,186.56,-494.04,-436.52,8.675,2.40E-01,-1.46E-04,3.39E-08,16.1871,2095.35,-29.16,-35,0,,"C2H4F2, 1;1-DIFLUOROETHANE"
96,C2H4O,ACETALDEHYDE,44.054,-123,20.4,461,55.7,0.154,778,20,"25,749",368.7,192.82,-166.47,-133.39,7.716,1.82E-01,-1.01E-04,2.38E-08,16.2418,2465.15,-37.15,-63,47,,"C2H4O, ACETALDEHYDE"
